scenario,phc,patients_arrived,patients_served,avg_wait_min,utilization,completion_rate,surge_patients_arrived,avg_surge_wait_min,overload_alerts,redeployments_made
Baseline,PHC_A,88,86,0.17,0.56,97.7,0,0,0,0
Baseline,PHC_B,67,65,0.9,0.58,97.0,0,0,0,0
Baseline,PHC_C,32,31,2.5,0.67,96.9,0,0,1,0
Baseline,PHC_D,35,34,3.79,0.83,97.1,0,0,0,0
Surge Only,PHC_A,131,127,4.37,0.56,96.9,43,9.97,5,0
Surge Only,PHC_B,61,59,1.88,0.58,96.7,10,8.98,1,0
Surge Only,PHC_C,37,37,7.07,0.67,100.0,11,21.15,4,0
Surge Only,PHC_D,57,49,66.02,0.83,86.0,21,77.59,13,0
Surge + Coordination,PHC_A,132,128,4.46,0.67,97.0,43,9.97,5,1
Surge + Coordination,PHC_B,54,52,2.14,0.58,96.3,10,8.98,1,1
Surge + Coordination,PHC_C,44,39,8.85,0.67,88.6,11,21.15,5,1
Surge + Coordination,PHC_D,62,54,59.97,0.56,87.1,21,76.88,13,1
